URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://fhir.de/CodeSystem/bfarm/alpha-id,1.4.0,active,,AlphaId,null,"Alpha-ID Platzhalter-CodeSystem","ValueSet/valueset-alpha-id"
http://fhir.de/CodeSystem/bfarm/atc,1.4.0,active,,Atc,null,"ATC Platzhalter-CodeSystem","ValueSet/valueset-atc"
http://hl7.org/fhir/CodeSystem/medication-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1379",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-statement-status"
http://hl7.org/fhir/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.4.513",DaysOfWeek,DaysOfWeek,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/diagnostic-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.236",DiagnosticReportStatus,DiagnosticReportStatus,"The status of the diagnostic report.","ValueSet/diagnostic-report-status"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/event-timing,4.0.1,active,"2.16.840.1.113883.4.642.4.76",EventTiming,EventTiming,"Real world event relating to the schedule.","ValueSet/event-timing"
http://hl7.org/fhir/fhir-types,5.0.0,active,"2.16.840.1.113883.4.642.4.1802",FHIRTypes,All FHIR Types,"One of the types defined as part of this version of FHIR.","ValueSet/resource-types"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.4.60",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/research-study-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.820",ResearchStudyStatus,ResearchStudyStatus,"Codes that convey the current status of the research study.","ValueSet/research-study-status"
http://hl7.org/fhir/research-subject-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.830",ResearchSubjectStatus,ResearchSubjectStatus,"Indicates the progression of a study subject through a study.","ValueSet/research-subject-status"
