/github/workspace/fsh-generated/resources/BodyStructure-example-body-structure.json: line 25, col 8, Error - Unable to resolve resource with reference 'ExampleCondition' (STRUCTURE)
/github/workspace/fsh-generated/resources/CodeSystem-cs-diagnosesicherung-icdo3.json: line 0, col 0, Info - CodeSystems SHOULD have a stated value for the caseSensitive element so that users know the status and meaning of the code system clearly (BUSINESSRULE)
/github/workspace/fsh-generated/resources/CodeSystem-cs-diagnosesicherung-icdo3.json: line 1, col 1267, Warning - Published code systems SHOULD conform to the ShareableCodeSystem profile, which says that the element CodeSystem.experimental is mandatory, but it is not present (REQUIRED)
/github/workspace/fsh-generated/resources/CodeSystem-cs-diagnosesicherung-icdo3.json: line 1, col 1267, Warning - Published code systems SHOULD conform to the ShareableCodeSystem profile, which says that the element CodeSystem.caseSensitive is mandatory, but it is not present (REQUIRED)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 11, col 8, Info - The definition for the Code System with URI 'http://fhir.de/CodeSystem/bfarm/icd-10-gm' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 16, col 14, Info - Code System URI 'https://fhir.kbv.de/CodeSystem/KBV_CS_SFHIR_ICD_SEITENLOKALISATION' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 16, col 14, Warning - ValueSet https://fhir.kbv.de/ValueSet/KBV_VS_SFHIR_ICD_SEITENLOKALISATION not found (CODEINVALID)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 27, col 8, Info - The definition for the Code System with URI 'http://terminology.hl7.org/CodeSystem/icd-o-3' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 32, col 14, Warning - ValueSet https://www.vision-zero-oncology.de/fhir/ValueSet/vs-diagnosesicherung-icdo3 not found (CODEINVALID)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 27, col 8, Warning - ValueSet http://fhir.de/onkologie/ValueSet/icd-o-3-morphologie not found (CODEINVALID)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 102, col 10, Info - The definition for the Code System with URI 'http://terminology.hl7.org/CodeSystem/icd-o-3' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 102, col 10, Info - This element does not match any known slice defined in the profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/tumor-disorder|0.1.0 (INFORMATIONAL)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 100, col 6, Error - Condition.bodySite.coding:icdo3-t: minimum required = 1, but only found 0 (from https://www.vision-zero-oncology.de/fhir/StructureDefinition/tumor-disorder|0.1.0) (STRUCTURE)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 111, col 4, Error - Unable to resolve resource with reference 'Patient/example' (STRUCTURE)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 114, col 4, Error - Unable to resolve resource with reference 'Encounter/example' (STRUCTURE)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 119, col 4, Error - Unable to resolve resource with reference 'Practitioner/dokumentar' (STRUCTURE)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 122, col 4, Error - Unable to resolve resource with reference 'Practitioner/kliniker' (STRUCTURE)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 61, col 10, Error - Unable to resolve resource with reference 'Observation/tnm-cT2cN2cM1IV' (STRUCTURE)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 77, col 10, Error - Unable to resolve resource with reference 'Observation/G3' (STRUCTURE)
/github/workspace/fsh-generated/resources/Condition-mamma-ca-rechts.json: line 128, col 10, Error - Unable to resolve resource with reference 'DiagnosticReport/pathologie' (STRUCTURE)
/github/workspace/fsh-generated/resources/DiagnosticReport-example-diagnostic-report.json: line 36, col 8, Error - Unable to resolve resource with reference 'Procedure/ExampleProcedure' (STRUCTURE)
/github/workspace/fsh-generated/resources/DiagnosticReport-example-diagnostic-report.json: line 42, col 6, Error - Unable to resolve resource with reference 'ExampleResultObservation' (STRUCTURE)
/github/workspace/fsh-generated/resources/DiagnosticReport-example-diagnostic-report.json: line 47, col 6, Error - Unable to resolve resource with reference 'ExampleStudy' (STRUCTURE)
/github/workspace/fsh-generated/resources/MedicationAdministration-exa-medication-administration.json: line 46, col 8, Info - The definition for the Code System with URI 'http://fhir.de/CodeSystem/bfarm/atc' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/MedicationAdministration-exa-medication-administration.json: line 46, col 8, Error - The code provided (http://fhir.de/CodeSystem/bfarm/atc#L01DB01) is not in the value set 'ATC' (http://fhir.de/ValueSet/bfarm/atc|1.4.0), and a code from this value set is required: Unable to check whether the code is in the value set http://fhir.de/ValueSet/bfarm/atc|1.4.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/MedicationAdministration-exa-medication-administration.json: line 54, col 4, Error - Unable to resolve resource with reference 'Patient/example' (STRUCTURE)
/github/workspace/fsh-generated/resources/MedicationStatement-exa-medication-statement-caelyx.json: line 12, col 8, Info - The definition for the Code System with URI 'http://fhir.de/CodeSystem/bfarm/atc' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/MedicationStatement-exa-medication-statement-caelyx.json: line 12, col 8, Error - The code provided (http://fhir.de/CodeSystem/bfarm/atc#L01DB01) is not in the value set 'ATC' (http://fhir.de/ValueSet/bfarm/atc|1.4.0), and a code from this value set is required: Unable to check whether the code is in the value set http://fhir.de/ValueSet/bfarm/atc|1.4.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/MedicationStatement-exa-medication-statement-caelyx.json: line 19, col 4, Error - Unable to resolve resource with reference 'Patient/example' (STRUCTURE)
/github/workspace/fsh-generated/resources/Observation-ExampleRecistAssessmentResponse.json: line 11, col 8, Info - Code System URI 'http://radlex.org/RID' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-ExampleRecistAssessmentResponse.json: line 23, col 4, Warning - Code System URI 'http://radlex.org/RID' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-ExampleRecistAssessmentResponse.json: line 25, col 8, Info - Code System URI 'http://radlex.org/RID' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-ExampleRecistAssessmentResponse.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-body-height.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-body-weight.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-ecog-performance-status.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
