URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://www.vision-zero-oncology.de/fhir/ValueSet/diagnosesicherung-icdo3,0.1.0,draft,,DiagnosesicherungICDO3,ValieSet Diagnosesicherung ICD-O-3,"ValueSet für die Diagnosesicherungscodes der ICD-O-3",,"Internal"
https://www.vision-zero-oncology.de/fhir/ValueSet/ecog-performance-status-snomed,0.1.0,draft,,VS_ECOG_Performance_Status_SNOMED,ValueSet ECOG Performance Status SNOMED,"The ValueSet contains the ECOG Performance Status values from SNOMED CT.",,"SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/histopathological-grade-snomed,0.1.0,draft,,VS_Histopathological_Grade_SNOMED,ValueSet Histologic Grade SNOMED,"The ValueSet contains codes for the tumor grading system following the recommendations of the WHO Classification of Tumors from SNOMED CT.",,"SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/morphology-icd-o-3,0.1.0,draft,,VS_Morphology_ICD_O_3,ValueSet Morphology ICD-O-3,"The ValueSet contains the morphology (histology) codes from ICD-O-3.",,"THO"
https://www.vision-zero-oncology.de/fhir/ValueSet/morphology-snomed,0.1.0,draft,,VS_Morphology_SNOMED,ValueSet Morphology SNOMED,"The ValueSet contains the morphology (histology) codes from SNOMED CT.",,"SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/recist-asstimepoint-response,0.1.0,draft,,RecistAssessmentTimepointResponseVS,ValueSet Recist Timepoint Response,"Defines the valid values for the recist assessment response observation resource",,"Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/studiendesign-ncit,0.1.0,draft,,VS_Studiendesign_NCIT,ValueSet Studiendesign NCIt,"Studiendesign aus NCI Thesaurus (NCIt)",,"hl7.terminology.r4"
https://www.vision-zero-oncology.de/fhir/ValueSet/studienkategorien-ncit,0.1.0,draft,,VS_Studienkategorien_NCIT,ValueSet Studienkategorien NCIt,"Studienkategorien aus NCI Thesaurus (NCIt)",,"hl7.terminology.r4"
https://www.vision-zero-oncology.de/fhir/ValueSet/study-focus-ncit,0.1.0,draft,,VS_StudyFocus_NCIT,ValueSet Study Focus NCIt,"Study Focus aus NCI Thesaurus (NCIt)",,"hl7.terminology.r4"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-classification-type-loinc,0.1.0,draft,,VS_TNM_Classification_Type_LOINC,ValueSet TNM Classification Type LOINC,"This ValueSet contains codes to specifiy the type of TNM classification as clinical (cTNM) or pathological (pTNM).",,"LOINC"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-l-lymphatic-invasion-uicc,0.1.0,draft,,VS_TNM_L_Lymphatic_Invasion_UICC,ValueSet TNM L-Descriptor Lymphatic Invasion UICC,"This ValueSet contains the TNM degree of lymphatic invasion codes used with the L-descriptor from TNM 8th edition UICC.",,"Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-m-category-uicc,0.1.0,draft,,VS_TNM_M_Category_UICC,ValueSet TNM M Category UICC,"This ValueSet contains the TNM M category codes from TNM 8th edition UICC.",,"Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-m-staging-type-loinc,0.1.0,draft,,VS_TNM_M_Staging_Type_LOINC,ValueSet TNM M Staging Type LOINC,"This ValueSet contains codes to specifiy the TNM distant metastases (M) category as clinical (cM) or pathological (pM).",,"LOINC"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-n-category-uicc,0.1.0,draft,,VS_TNM_N_Category_UICC,ValueSet TNM N Category UICC,"This ValueSet contains the TNM N category codes from TNM 8th edition UICC.",,"Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-n-staging-type-loinc,0.1.0,draft,,VS_TNM_N_Staging_Type_LOINC,ValueSet TNM N Staging Type LOINC,"This ValueSet contains codes to specifiy the TNM regional lymph nodes (N) category as clinical (cN) or pathological (pN).",,"LOINC"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-pn-perineural-invasion-uicc,0.1.0,draft,,VS_TNM_Pn_Perineural_Invasion_UICC,ValueSet TNM Pn-Descriptor Perineural Invasion UICC,"This ValueSet contains the TNM degree of perineural (lymphatic nerve sheet) invasion codes used with the Pn-descriptor from TNM 8th edition UICC.",,"Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-prefix-cpu-uicc,0.1.0,draft,,VS_TNM_Prefix_CPU_UICC,ValueSet TNM Prefix CPU UICC,"This ValueSet contains the c, p and u prefixes for TNM stages from TNM 8th edition UICC.",,"Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-r-classification-uicc,0.1.0,draft,,VS_TNM_R_Classification_UICC,ValueSet TNM Residual Tumor (R) Classification UICC,"This ValueSet contains the TNM residual tumor (R) classification codes from TNM 8th edition UICC.",,"Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-s-serum-tumor-markers-uicc,0.1.0,draft,,VS_TNM_S_Serum_Tumor_Markers_UICC,ValueSet TNM S Serum Tumour Markers UICC,"This ValueSet contains the TNM serum levels of tumor markers coded for germ cell tumors used with the S-symbol from TNM 8th edition UICC.",,"Other"
