URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.de/ValueSet/bfarm/atc,1.4.0,active,,ATC,null,"Anatomisch-therapeutisch-chemische Klassifkation (ATC) mit Tagesdosen deutsche Fassung","StructureDefinition/medication-statement,StructureDefinition/medication-administration","de.basisprofil.r4"
http://hl7.org/fhir/ValueSet/medication-statement-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.370",Medication usage category codes,Medication usage category codes,"Medication Status Codes","StructureDefinition/medication-statement","THO"
http://hl7.org/fhir/ValueSet/research-study-phase,4.0.1,draft,"2.16.840.1.113883.4.642.3.821",ResearchStudyPhase,ResearchStudyPhase,"Codes for the stage in the progression of a therapy from initial experimental use in humans in clinical trials to post-market evaluation.","StructureDefinition/clinical-study","THO"
http://hl7.org/fhir/ValueSet/ucum-bodylength,4.0.1,draft,"2.16.840.1.113883.4.642.3.958",BodyLengthUnits,Body Length Units,"UCUM units for recording body length measures such as height and head circumference","StructureDefinition/body-height","UCUM"
http://hl7.org/fhir/ValueSet/ucum-bodyweight,4.0.1,draft,"2.16.840.1.113883.4.642.3.956",BodyWeightUnits,Body Weight Units,"UCUM units for recording Body Weight","StructureDefinition/body-weight","UCUM"
http://hl7.org/fhir/uv/ips/ValueSet/medicine-route-of-administration,1.0.0,active,,RouteOfAdminUvIps,Medicine Route of Administration - IPS,"EDQM Route of Administration codes.  This Value Set includes all the EDQM Standard Terms having:   [Concept Status] = ‘Current’ AND   [Concept Class] = 'route of administration' AND   [Domain] = 'Human and Veterinary'","StructureDefinition/medication-statement,StructureDefinition/medication-administration","Other"
http://hl7.org/fhir/uv/ips/ValueSet/target-site-uv-ips,1.0.0,active,,TargetSiteCodeUvIps,Target Site - IPS,"This value set includes codes from SNOMED Clinical Terms®: all descendants of 442083009 | Anatomical or acquired body structure (body structure)|.","StructureDefinition/medication-statement,StructureDefinition/medication-administration","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank/ValueSet/sct-body-structures,null,active,,ValueSetSCTBodyStructures,ValueSet - SNOMED CT Body Strutures,"","StructureDefinition/tumor-disorder","SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/diagnosesicherung-icdo3,0.1.0,draft,,DiagnosesicherungICDO3,ValieSet Diagnosesicherung ICD-O-3,"ValueSet für die Diagnosesicherungscodes der ICD-O-3",,"Internal"
https://www.vision-zero-oncology.de/fhir/ValueSet/ecog-performance-status-snomed,0.1.0,draft,,VS_ECOG_Performance_Status_SNOMED,ValueSet ECOG Performance Status SNOMED,"The ValueSet contains the ECOG Performance Status values from SNOMED CT.","StructureDefinition/ecog-performance-status","SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/histopathological-grade-snomed,0.1.0,draft,,VS_Histopathological_Grade_SNOMED,ValueSet Histologic Grade SNOMED,"The ValueSet contains codes for the tumor grading system following the recommendations of the WHO Classification of Tumors from SNOMED CT.","StructureDefinition/histopathological-grading-who","SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/morphology-icd-o-3,0.1.0,draft,,VS_Morphology_ICD_O_3,ValueSet Morphology ICD-O-3,"The ValueSet contains the morphology (histology) codes from ICD-O-3.","StructureDefinition/histology-topography","THO"
https://www.vision-zero-oncology.de/fhir/ValueSet/morphology-snomed,0.1.0,draft,,VS_Morphology_SNOMED,ValueSet Morphology SNOMED,"The ValueSet contains the morphology (histology) codes from SNOMED CT.","StructureDefinition/histology-topography","SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/recist-asstimepoint-response,0.1.0,draft,,RecistAssessmentTimepointResponseVS,ValueSet Recist Timepoint Response,"Defines the valid values for the recist assessment response observation resource","StructureDefinition/recist-assessment-response","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/studiendesign-ncit,0.1.0,draft,,VS_Studiendesign_NCIT,ValueSet Studiendesign NCIt,"Studiendesign aus NCI Thesaurus (NCIt)","StructureDefinition/clinical-study","hl7.terminology.r4"
https://www.vision-zero-oncology.de/fhir/ValueSet/studienkategorien-ncit,0.1.0,draft,,VS_Studienkategorien_NCIT,ValueSet Studienkategorien NCIt,"Studienkategorien aus NCI Thesaurus (NCIt)","StructureDefinition/clinical-study","hl7.terminology.r4"
https://www.vision-zero-oncology.de/fhir/ValueSet/study-focus-ncit,0.1.0,draft,,VS_StudyFocus_NCIT,ValueSet Study Focus NCIt,"Study Focus aus NCI Thesaurus (NCIt)","StructureDefinition/clinical-study","hl7.terminology.r4"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-classification-type-loinc,0.1.0,draft,,VS_TNM_Classification_Type_LOINC,ValueSet TNM Classification Type LOINC,"This ValueSet contains codes to specifiy the type of TNM classification as clinical (cTNM) or pathological (pTNM).","StructureDefinition/uicc-tnm","LOINC"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-l-lymphatic-invasion-uicc,0.1.0,draft,,VS_TNM_L_Lymphatic_Invasion_UICC,ValueSet TNM L-Descriptor Lymphatic Invasion UICC,"This ValueSet contains the TNM degree of lymphatic invasion codes used with the L-descriptor from TNM 8th edition UICC.","StructureDefinition/uicc-tnm","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-m-category-uicc,0.1.0,draft,,VS_TNM_M_Category_UICC,ValueSet TNM M Category UICC,"This ValueSet contains the TNM M category codes from TNM 8th edition UICC.","StructureDefinition/uicc-tnm","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-m-staging-type-loinc,0.1.0,draft,,VS_TNM_M_Staging_Type_LOINC,ValueSet TNM M Staging Type LOINC,"This ValueSet contains codes to specifiy the TNM distant metastases (M) category as clinical (cM) or pathological (pM).","StructureDefinition/uicc-tnm","LOINC"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-n-category-uicc,0.1.0,draft,,VS_TNM_N_Category_UICC,ValueSet TNM N Category UICC,"This ValueSet contains the TNM N category codes from TNM 8th edition UICC.","StructureDefinition/uicc-tnm","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-n-staging-type-loinc,0.1.0,draft,,VS_TNM_N_Staging_Type_LOINC,ValueSet TNM N Staging Type LOINC,"This ValueSet contains codes to specifiy the TNM regional lymph nodes (N) category as clinical (cN) or pathological (pN).","StructureDefinition/uicc-tnm","LOINC"
